pano,pmes,conglome,vivienda,hogar,codperso,dominio,estrato,p101p,p103,p104,p105,p106,p107,p108,p110,p200n,p200i,p200a,p200b,p200c,p200d,p200e,p200f,p200g,p201,p202,p203,p204,p2041,p2042,p2043,p2044,p2045,p2046,p2047,p2048,p2049,p20410,p205,p206,p207a,p207b,p208a,p208b1,p208b2,p208b3,p209,p209a,p209b,p209c,p209d,p209e,p209f,p209g,p209t,p209h,p210,p211a,p211b,p212a,p212b,p212c,p212d,p212e,p213,p214,p215,p216,p217,p218,p219,p220,p221a,p221b1,p221b2,p221b3,p222,ocu200,i211a,i212a,d211b,factor,toting,p200bb,p200dd,ingprinc,lintot01,linsub01,ingtrab,subemp01
2002,2,546,76,11,1,8,1,51101,1,1,2, ,1,38,1,1,1,10,2,16,2,6,6,1963,1, , , , , , , , , , , , , ,3,4,1,2,0,13,2,2002,0,0,0,0,10,10,10,10,40,1,2,100,0, , ,0,0,1, , , , , , , , , , , , ,5,1,433, ,0,517.078013887206,433, , ,433,261.4118611,587.210880106404,433,2
2002,2,546,76,11,2,8,1,51102,2,1,2, ,2,32,2,2,2,10,2,16,2,1,7,1969,1, , , , , , , , , , , , , ,2,2,1,1,1, , , ,0,0,12,12,12,12,12,12,72,2, , , ,18,15,0,0,1, , , , , , , , , , , , ,5,1, ,18, ,489.781769952447,33, , ,33,261.4118611,587.210880106404,33,2
2002,2,546,76,11,3,8,1,51103,3,1,2, ,1,6,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,449.877180704175, , , ,999999,261.4118611,587.210880106404,0, 
2002,2,546,76,11,4,8,1,21104,9,2, ,1,2,28,4,4,4,10,2,16,2,26,11,1973,2,1, , , , , , , , , , , , ,7,3,2, ,1, , , ,0,0,0,0,0,0,0,0,0,1,4,700,0, , ,0,0,1, , , , , , , , , , , , ,1,1,700, ,0,489.781769952447,700, , ,700,261.4118611,587.210880106404,700,1
2002,2,699,12,11,1,8,1,111101,1,1,2, ,1,21,1,1,1,10,2,16,2,23,4,1980,1, , , , , , , , , , , , , ,2,4,1,90,1, , , ,0,10,10,10,10,10,10,0,60,1,2,110,0, , ,0,0,1, , , , , , , , , , , , ,5,1,476, ,0,464.99792891255,476, , ,476,261.4118611,587.210880106404,476,2
2002,2,699,12,11,2,8,1,111102,2,1,2, ,2,21,2,2,2,10,2,16,2,26,3,1980,2,2,2,0,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , ,3,1,1,0,15,12,2001,5,2, , , ,478.012401081983, , , ,999999,261.4118611,587.210880106404,0,4
2002,2,699,12,11,3,8,1,111103,3,1,2, ,1,2,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,441.396841073641, , , ,999999,261.4118611,587.210880106404,0, 
2002,2,699,12,11,4,8,1,21104,9,2, ,1,1,18,4,4,4,10,2,16,2,4,9,1983,1, , , , , , , , , , , , , ,5,4,1,5,1, , , ,0,0,0,0,0,0,4,0,4,1,2,15,6, , ,0,0,1, , , , , , , , , , , , ,5,1,65, ,26,464.99792891255,91, , ,91,261.4118611,587.210880106404,91,1
2002,2,699,13,11,1,8,1,51101,1,1,2, ,2,39,1,1,1,10,2,16,2,18,12,1962,1, , , , , , , , , , , , , ,4,2,1,1,1, , , ,0,4,4,0,0,0,0,4,12,1, , , ,120,0,0,0,1, , , , , , , , , , , , ,5,1, ,120, ,480.549215085941,120, , ,120,261.4118611,587.210880106404,120,1
2002,2,699,14,11,1,8,1,51101,1,1,2, ,2,37,1,1,1,10,2,16,2,26,1,1965,1, , , , , , , , , , , , , ,2,4,2, ,0,18,12,2001,0,0,12,0,12,0,0,0,24,2,2,20,0, , ,0,0,1, , , , , , , , , , , , ,5,1,87, ,0,480.549215085941,87, , ,87,261.4118611,587.210880106404,87,2
